Shots,Accuracy,Avg Retries,Positive Precision,Negative Precision,Positive Recall,Negative Recall,F1 Score
0,0.888,0.103,0.9217391304347826,0.8592592592592593,0.848,0.928,0.8878205128205128
1,0.87,0.098,0.9223744292237442,0.8291814946619217,0.808,0.932,0.8694983516637955
3,0.872,0.095,0.9246575342465754,0.8309608540925267,0.81,0.934,0.8715060693305066
5,0.894,0.103,0.8924302788844621,0.8955823293172691,0.896,0.892,0.8939995759983039
10,0.891,0.101,0.9047619047619048,0.8781431334622823,0.874,0.908,0.8909684898935792
20,0.0,2.0,0.0,0.0,0.0,0.0,0.0
