Shots,Accuracy,Avg Retries,Positive Precision,Negative Precision,Positive Recall,Negative Recall,F1 Score
0,0.894,0.074,0.8842504743833017,0.904862579281184,0.9119373776908023,0.8752556237218814,0.8939354588025108
1,0.873,0.074,0.8779527559055118,0.8678861788617886,0.87279843444227,0.8732106339468303,0.8730072416142227
3,0.761,0.209,0.8253588516746412,0.7147766323024055,0.675146771037182,0.8507157464212679,0.7594138874064158
5,0.825,0.208,0.840080971659919,0.8102766798418972,0.812133072407045,0.8384458077709611,0.8250148753718842
10,0.0,2.0,0.0,0.0,0.0,0.0,0.0
20,0.0,2.0,0.0,0.0,0.0,0.0,0.0
