Shots,Accuracy,Avg Retries,Positive Precision,Negative Precision,Positive Recall,Negative Recall,F1 Score
0,0.888,0.085,0.9349775784753364,0.8501805054151624,0.834,0.942,0.8876724528725766
1,0.871,0.086,0.9324009324009324,0.8248686514886164,0.8,0.942,0.8703464162844902
3,0.884,0.087,0.9229074889867841,0.8516483516483516,0.838,0.93,0.8837540235137551
5,0.906,0.09,0.921161825726141,0.8918918918918919,0.888,0.924,0.9059695341290578
10,0.907,0.09,0.9213250517598344,0.8936170212765957,0.89,0.924,0.9069731152303016
20,0.0,2.0,0.0,0.0,0.0,0.0,0.0
